	0
532	80.0
533	72.0
534	77.0
535	91.0
536	70.0
537	69.0
538	70.0
539	77.0
540	83.0
541	66.0
542	77.0
543	79.0
544	83.0
545	102.0
546	66.0
547	77.0
548	83.0
549	61.0
550	91.0
551	87.0
552	70.0
553	85.0
554	87.0
555	76.0
556	82.0
557	76.0
558	64.0
559	280.0
560	115.0
561	68.0
562	90.0
563	94.0
564	53.0
565	78.0
566	1087.0
567	79.0
568	79.0
569	94.0
570	72.0
571	70.0
572	71.0
573	136.0
574	86.0
575	77.0
576	80.0
577	78.0
578	67.0
579	70.0
580	203.0
581	98.0
582	90.0
583	75.0
584	89.0
585	67.0
586	83.0
587	69.0
588	71.0
589	81.0
590	63.0
591	68.0
592	59.0
593	62.0
594	79.0
595	85.0
596	66.0
597	74.0
598	97.0
599	68.0
600	81.0
601	804.0
602	67.0
603	80.0
604	112.0
605	69.0
606	67.0
607	87.0
608	72.0
609	87.0
610	65.0
611	188.0
612	85.0
613	70.0
614	58.0
615	80.0
616	72.0
617	77.0
618	91.0
619	70.0
620	69.0
621	70.0
622	77.0
623	83.0
624	66.0
625	77.0
626	79.0
627	83.0
628	102.0
629	66.0
630	77.0
631	83.0
632	61.0
633	91.0
634	87.0
635	70.0
636	85.0
637	87.0
638	76.0
639	82.0
640	76.0
641	64.0
642	280.0
643	115.0
644	68.0
645	90.0
646	94.0
647	53.0
648	78.0
649	1087.0
650	79.0
651	79.0
652	94.0
653	72.0
654	70.0
655	71.0
656	136.0
657	86.0
658	77.0
659	80.0
660	78.0
661	67.0
662	70.0
663	203.0
664	98.0
665	90.0
666	75.0
667	89.0
668	67.0
669	83.0
670	69.0
671	71.0
672	81.0
673	63.0
674	68.0
675	59.0
676	70.0
677	209.0
678	90.0
679	128.0
680	101.0
681	81.0
682	93.0
683	80.0
684	62.0
685	79.0
686	85.0
687	66.0
688	74.0
689	97.0
690	68.0
691	81.0
692	804.0
693	67.0
694	80.0
695	112.0
696	69.0
697	67.0
698	87.0
699	72.0
700	87.0
701	65.0
702	188.0
703	85.0
704	70.0
705	58.0
706	80.0
707	72.0
708	77.0
709	91.0
710	70.0
711	69.0
712	70.0
713	77.0
714	83.0
715	66.0
716	77.0
717	79.0
718	83.0
719	102.0
720	66.0
721	77.0
722	83.0
723	61.0
724	91.0
725	87.0
726	70.0
727	85.0
728	87.0
729	76.0
730	82.0
731	76.0
732	64.0
733	280.0
734	115.0
735	68.0
736	90.0
737	94.0
738	53.0
739	78.0
740	1087.0
741	79.0
742	79.0
743	94.0
744	72.0
745	70.0
746	71.0
747	136.0
748	86.0
749	77.0
750	80.0
751	78.0
752	67.0
753	70.0
754	203.0
755	98.0
756	90.0
757	75.0
758	89.0
759	67.0
760	83.0
761	69.0
762	71.0
763	81.0
764	63.0
765	68.0
766	59.0
767	70.0
768	209.0
769	90.0
770	128.0
771	101.0
772	81.0
773	93.0
774	80.0
775	72.0
776	90.0
777	155.0
778	74.0
779	63.0
780	84.0
781	80.0
782	76.0
783	62.0
784	79.0
785	85.0
786	66.0
787	74.0
788	97.0
789	68.0
790	81.0
791	804.0
792	67.0
793	80.0
794	112.0
795	69.0
796	67.0
797	87.0
798	72.0
799	87.0
800	65.0
801	188.0
802	85.0
803	70.0
804	58.0
805	80.0
806	72.0
807	77.0
808	91.0
809	70.0
810	69.0
811	70.0
812	77.0
813	83.0
814	66.0
815	77.0
816	79.0
817	83.0
818	102.0
819	66.0
820	77.0
821	83.0
822	61.0
823	91.0
824	87.0
825	70.0
826	85.0
827	87.0
828	76.0
829	82.0
830	76.0
831	64.0
832	280.0
833	115.0
834	68.0
835	90.0
836	94.0
837	53.0
838	78.0
839	1087.0
840	79.0
841	79.0
842	94.0
843	72.0
844	70.0
845	71.0
846	136.0
847	86.0
848	77.0
849	80.0
850	78.0
851	67.0
852	70.0
853	203.0
854	98.0
855	90.0
856	75.0
857	89.0
858	67.0
859	83.0
860	69.0
861	71.0
862	81.0
863	63.0
864	68.0
865	59.0
866	70.0
867	209.0
868	90.0
869	128.0
870	101.0
871	81.0
872	93.0
873	80.0
874	72.0
875	90.0
876	155.0
877	74.0
878	63.0
879	84.0
880	80.0
881	76.0
882	66.0
883	73.0
884	108.0
885	84.0
886	81.0
887	78.0
888	81.0
889	90.0
890	80.0
891	62.0
892	79.0
893	85.0
894	66.0
895	74.0
896	97.0
897	68.0
898	81.0
899	804.0
900	67.0
901	80.0
902	112.0
903	69.0
904	67.0
905	87.0
906	72.0
907	87.0
908	65.0
909	188.0
910	85.0
911	70.0
912	58.0
913	80.0
914	72.0
915	77.0
916	91.0
917	70.0
918	69.0
919	70.0
920	77.0
921	83.0
922	66.0
923	77.0
924	79.0
925	83.0
926	102.0
927	66.0
928	77.0
929	83.0
930	61.0
931	91.0
932	87.0
933	70.0
934	85.0
935	87.0
936	76.0
937	82.0
938	76.0
939	64.0
940	280.0
941	115.0
942	68.0
943	90.0
944	94.0
945	53.0
946	78.0
947	1087.0
948	79.0
949	79.0
950	94.0
951	72.0
952	70.0
953	71.0
954	136.0
955	86.0
956	77.0
957	80.0
958	78.0
959	67.0
960	70.0
961	203.0
962	98.0
963	90.0
964	75.0
965	89.0
966	67.0
967	83.0
968	69.0
969	71.0
970	81.0
971	63.0
972	68.0
973	59.0
974	70.0
975	209.0
976	90.0
977	128.0
978	101.0
979	81.0
980	93.0
981	80.0
982	72.0
983	90.0
984	155.0
985	74.0
986	63.0
987	84.0
988	80.0
989	76.0
990	66.0
991	73.0
992	108.0
993	84.0
994	81.0
995	78.0
996	81.0
997	90.0
998	80.0
999	66.0
1000	90.0
1001	83.0
1002	69.0
1003	87.0
1004	308.0
1005	77.0
1006	80.0
1007	64.0
1008	62.0
1009	79.0
1010	85.0
1011	66.0
1012	74.0
1013	97.0
1014	68.0
1015	81.0
1016	804.0
1017	67.0
1018	80.0
1019	112.0
1020	69.0
1021	67.0
1022	87.0
1023	72.0
1024	87.0
1025	65.0
1026	188.0
1027	85.0
1028	70.0
1029	58.0
1030	80.0
1031	72.0
1032	77.0
1033	91.0
1034	70.0
1035	69.0
1036	70.0
1037	77.0
1038	83.0
1039	66.0
1040	77.0
