	0
0	62.0
1	79.0
2	85.0
3	62.0
4	79.0
5	85.0
6	66.0
7	74.0
8	97.0
9	62.0
10	79.0
11	85.0
12	66.0
13	74.0
14	97.0
15	68.0
16	81.0
17	804.0
18	62.0
19	79.0
20	85.0
21	66.0
22	74.0
23	97.0
24	68.0
25	81.0
26	804.0
27	67.0
28	80.0
29	112.0
30	69.0
31	62.0
32	79.0
33	85.0
34	66.0
35	74.0
36	97.0
37	68.0
38	81.0
39	804.0
40	67.0
41	80.0
42	112.0
43	69.0
44	67.0
45	87.0
46	72.0
47	87.0
48	62.0
49	79.0
50	85.0
51	66.0
52	74.0
53	97.0
54	68.0
55	81.0
56	804.0
57	67.0
58	80.0
59	112.0
60	69.0
61	67.0
62	87.0
63	72.0
64	87.0
65	65.0
66	188.0
67	85.0
68	70.0
