	0
0	69.0
1	227.0
2	106.0
3	123.0
4	98.0
5	172.0
6	159.0
7	187.0
8	231.0
9	86.0
10	89.0
11	870.0
12	223.0
13	224.0
14	875.0
15	374.0
16	78.0
17	1321.0
18	3592.0
19	6481.0
20	7665.0
21	9689.0
22	11840.0
23	15532.0
24	16916.0
25	20631.0
26	21644.0
27	25095.0
28	30439.0
29	32051.0
30	70.0
31	1619.0
32	383.0
33	575.0
34	86.0
35	79.0
36	410.0
37	113.0
38	109.0
39	1818.0
40	904.0
41	151.0
42	588.0
43	1070.0
44	170.0
45	80.0
46	78.0
47	91.0
48	166.0
49	85.0
50	197.0
51	88.0
52	2380.0
53	8328.0
54	12981.0
55	13999.0
56	16838.0
57	20348.0
58	24426.0
59	26850.0
60	30342.0
61	30651.0
62	33805.0
63	36854.0
64	38104.0
65	39552.0
